多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
放弃本轮挑战会重新从第1层开始挑战，确定要放弃本轮挑战吗？,韩语,이번 도전을 포기하시면 1층로 리셋됩니다. 포기하시겠습니까?,德语,"Wenn du aufgibst, wird dein Fortschritt auf Level 1 zurückgesetzt. Willst du wirklich aufhören?"
背刺球,韩语,백스탭 볼,印尼语,BOLA TUSUK BELAKANG
S1赛季黄金头像框,日语,S1ゴールドフレーム,俄语,Золотая рамка класса S1
随机稀有护腕,日语,ランダムレアのブレーサー,德语,Zufällige Seltene Armschoner
通过{0}层后解锁,日语,フロア{0}をクリアしてアンロック,印尼语,Tuntaskan Lantai {0} untuk mengaktifkan
获得{0}个雷电球,日语,サンダーボールを{0}個ゲットする,法语,Obtenez {0} boule(s) de foudre
首通奖励,韩语,첫 클리어 보상,西班牙语（西班牙）,Recompensa por primera finalización
随机获得一件稀有衣服,日语,ランダムに選択されたレアの衣服を1つゲットしよう,俄语,Получите 1 случайный предмет одежды редкого качества
随机获得一个A级普通宠物,日语,ランダムに選択されたAグレードのノーマルペットを1匹ゲットしよう,俄语,Получите 1 случайного обычного питомца класса A
随机获得一件稀有戒指,日语,ランダムに選択されたレアの指輪を1つゲットしよう,俄语,Получите 1 случайное кольцо редкого качества
使用,简体中文,使用,法语,Utilisation
冰霜精通,韩语,얼음 마스터,意大利语,MAESTRO DEL GHIACCIO
变强方式,韩语,강해지는 법,法语,Comment devenir plus fort
Combo技能有{0}%概率会触发{1}次,韩语,콤보 스킬은 {0}% 확률로 {1}번 발동됩니다,西班牙语（西班牙）,Las habilidades de combo tienen un {0}% de probabilidad de activarse {1} vez(es).
售罄,日语,売り切れ,印尼语,Habis Terjual
增强宠物,日语,ペットの強化,泰语,เสริมความแข็งแกร่งสัตว์เลี้ยง
连击数每达到{0}时对随机{1}列敌人造成激光伤害,韩语,{0} 콤보마다 무작위로 {1}열의 적에게 레이저 데미지를 입힙니다,法语,"Chaque combo de {0} coups, inflige des dégâts laser à {1} colonne(s) ennemie(s) aléatoire(s)"
获得<color=#ebbbff><b>永恒+3</b></color>装备,日语,<color=#ebbbff><b>エターナル+3</b></color>装備をゲット,德语,Erhalte einen Ausrüstungsgegenstand <color=#ebbbff>Ewig +3</color>
随机稀有帽子,日语,ランダムレアの帽子,俄语,Случайный редкий головной убор
森系史诗锤子,日语,エピックの森ハンマー,意大利语,Martello della giungla epico
若角色本回合受到的总伤害大于自身最大生命值的<color=#00FF00>20%</color>，下回合攻击力额外增加<color=#00FF00>35%</color>,韩语,이번 라운드에 받은 총 데미지가 최대 HP의 <color=#00FF00>20%</color> 이상일 때 다음 라운드에 공격이 <color=#00FF00>35%</color> 증가됩니다,德语,"Wenn der erlittene Gesamtschaden in dieser Runde <color=#00FF00>20%</color> der Max. GP überschreitet, werden in der folgenden Runde <color=#00FF00>35%</color> zusätzliche Angriffskraft gewährt."
可以打开雷系宠物魔法蛋的锤子,日语,雷のポンエッグを叩いて開けることができるハンマー,印尼语,Martil yang dapat menghancurkan dan membuka PunEgg Halilintar
全身装备<color=#ebbbff><b>永恒</b></color>装备,日语,装着している装備はすべて<color=#ebbbff><b>エターナル</b></color>,意大利语,Tutti gli equipaggiamenti indossati sono <color=#ebbbff>Eterni</color>
获得{0}个黑洞球,日语,ブラックホールボールを{0}個ゲットする,德语,Erlange {0} Schwarzes-Loch-Kugel(n)
试炼之塔规则,日语,試練の塔のルール,法语,Règles de l'épreuve
试炼之塔已重置，本次挑战无效,韩语,시련의 탑이 재설정되었습니다. 이번 결과는 무효가 됩니다.,德语,"Der Prüfungsturm wurde zurückgesetzt, diese Herausforderung ist ungültig"
在装备合成时可替代任意传说帽子的神秘材料,韩语,장비 융합 시 아무 레전드 모자를 대체하는 데 사용됩니다,意大利语,Può sostituire qualsiasi Cappello leggendario durante la fusione dell'equipaggiamento
在装备合成时可替代任意荣耀靴子的神秘材料,韩语,장비 융합 시 아무 영예 신발을 대체하는 데 사용됩니다,法语,Peut remplacer n'importe quelle chaussure d'honneur lors de la fusion d'équipement
飞弹精通,日语,ミサイルマスター,法语,MAÎTRE DES MISSILES
试炼商店,韩语,시련의 상점,法语,Boutique de l'Épreuve
卡牌选择,日语,カードを選択,法语,Sélectionner une carte
替换,繁体中文,替換,意大利语,Sostituisci
随机获得一个S级史诗火系宠物,日语,ランダムに選択されたSグレードのエピックの炎のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического огненного питомца класса S
<b>永恒 + 5</b>,韩语,<b>이터널 + 5</b>,越南语,Vĩnh Hằng + 5
随机优秀装备,日语,ランダムグッドの装備,意大利语,Equipaggiamento buono casuale
在装备合成时可替代任意传说衣服的神秘材料,韩语,장비 융합 시 아무 레전드 옷를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Áo Choàng Huyền Thoại nào trong suốt quá trình dung hợp trang bị
连击数每达到{0}时天降{1}个炸弹,韩语,{0} 콤보마다 폭탄 {1}개가 떨어집니다,阿拉伯语,كلما وصل عدد مجموعة الضربات إلى {0}، أسقِط {1} من القنابل.
连击数每达到{0}时天降{1}个火球,韩语,{0} 콤보마다 파이어 볼 {1}개가 떨어집니다,阿拉伯语,كلما وصل عدد مجموعة الضربات إلى {0}، أسقِط {1} من الكرات النارية.
已成功扫荡至{0}层,韩语,{0}층까지 소탕이 성공했습니다,西班牙语（西班牙）,Has llegado en Guerra relámpago al nivel {0}
随机S级史诗冰系宠物,日语,ランダムSグレードのエピックの氷のペット,法语,Familier de glace épique de grade S aléatoire
所有飞弹伤害提升{0}%，发射飞弹时额外发射{1}个,韩语,모든 미사일 데미지가 {0}% 증가되며 추가 미사일 {1}개를 발사합니다,德语,Sämtlicher Raketenschaden ist um {0}% erhöht. Es werden +{1} Rakete(n) zusätzlich abgefeuert.
获得{0}个狙击球,日语,スナイパーボールを{0}個ゲットする,西班牙语（西班牙）,Obtén {0} bola(s) de francotirador.
装备降级,日语,レベル ダウン,法语,Niveau inférieur
添加上轮卡组,韩语,지난 라운드 카드,西班牙语（西班牙）,Cartas de la última ronda
获得{0}个秒杀球,日语,即死ボールを{0}個ゲットする,阿拉伯语,احصل على {0} من كرات القتل الفوري
传说戒指晶石,日语,レジェンダリー指輪の魔晶石,意大利语,Barite dell'Anello leggendario
"所有火焰伤害提升{0}%,灼烧时将灼烧状态传染给周围怪物",韩语,모든 불 데미지가 {0}% 증가되며 주변 몬스터들에게 불이 번집니다,法语,Tous les dégâts de feu ont été augmentés de {0} %. La combustion s'étend aux monstres environnants
随机获得一个A级史诗冰系宠物,日语,ランダムに選択されたAグレードのエピックの氷のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического ледяного питомца класса A
近战球,日语,近接ボール,意大利语,BIGLIA DA COMBATTIMENTO
随机获得一个A级史诗雷系宠物,日语,ランダムに選択されたAグレードのエピックの雷のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического громового питомца класса A
连击数每达到{0}时天降{1}个冰锥,韩语,{0} 콤보마다 얼음 기둥 {1}개가 떨어집니다,阿拉伯语,كلما وصل عدد مجموعة الضربات إلى {0}، أسقِط {1} من الكرات الجليدية.
怪物被击败发射{0}个导弹,韩语,죽인 몬스터가 미사일 {0}개를 발사합니다,西班牙语（西班牙）,Los monstruos muertos disparan {0} misil(es).
绝地反击,韩语,마지막 돌격,越南语,LẦN NẠP CUỐI CÙNG
放弃本轮挑战,日语,現在のバトルを終了,印尼语,Keluar dari pertempuran saat ini
替换卡牌,日语,カードを交換,法语,Remplacer la carte
试炼之塔会在每周一00:00（utc+8）重置，重置后玩家需从第1层重新挑战。\n玩家每挑战一层不会消耗体力，只会消耗1个蜡烛，每周试炼之塔重置时蜡烛会自动补满到20。\n挑战失败可重复挑战，挑战成功有一次3选1卡牌的机会，卡牌效果在本轮挑战中都会生效。\n在挑战过程中可随时放弃本轮挑战，放弃后从第1层重新开始挑战。\n试炼之塔通过15层后会开启扫荡功能，玩家可自由搭配已解锁的卡牌组成卡组进行扫荡，可从第1层直接扫荡至最高层数-5层。\n首次通关任意层后可领取该层对应的宝箱，仅限一次。\n本周首次通关任意层后可领取该层对应的试练塔硬币奖励，每周一次。\n可在试炼商店中花费试练硬币购买相应的商品。试炼商店会在每周试炼之塔重置时补货。,韩语,시련은 매주 월요일 01:00 (UTC+9)에 리셋됩니다. 리셋 후 플레이어가 1층부터 다시 도전합니다.\n플레이어는 각 층 도전할 때 에너지를 소비하지 않고 촛불 하나를 소비합니다. 매주 시련 리셋 시 촛불이 20개로 다시 채워집니다.\n실패 시 다시 도전할 수 있습니다. 도전이 성공하면 플레이어에게 카드 3장 중 하나를 선택하는 기회가 주어집니다. 카드 효과는 현재 라운드에서 적용됩니다.\n도전 중 현재 라운드를 포기할 수 있습니다. 포기하면 도전을 1층부터 다시 시작합니다.\n소탕 옵션은 15층 클리어 후 해제됩니다. 해제된 카드를 자유롭게 조합하여 데크를 만들어 소탕을 진행할 수 있습니다. 1층부터 최고 층보다 5층 낮은 층수까지 소탕할 수 있습니다.\n아무 층 첫 클리어 시 해당 층의 상자를 획득할 수 있습니다.(1회 제한)\n이번 주 아무 층 첫 클리어 시 해당 층의 시련 코인 보상을 획득할 수 있습니다. (주 1회 제한)\n시련 코인을 사용하여 시련의 상점에서 다양한 아이템을 구매하세요. 매주 시련 리셋 시 시련의 상점 상품이 재입고 됩니다.,法语,"La période de l'Épreuve se réinitialise tous les lundis à 00h00 (UTC+8). Une fois réinitialisé, les joueurs recommencent leur défi depuis le 1er étage.\nLes joueurs ne dépensent pas d'Endurance pour chaque défi d'étage, mais dépensent 1 Bougie. Les Bougies se rechargent jusqu'à 20 lorsque l'Épreuve se réinitialise chaque semaine.\nLes défis peuvent être recommencés en cas d'échec. Les défis réussis donnent aux joueurs une chance de choisir l'une des 3 cartes. Les effets de carte sont actifs pour la manche en cours.\nVous pouvez quitter la manche en cours au cours du défi. Si vous le faites, vous relancerez le défi à partir du 1er étage.\nL'option Blitz sera disponible une fois que vous aurez terminé le 15e étage de l'Épreuve. Les joueurs peuvent librement mélanger et associer des cartes déverrouillées en un ensemble avec lequel effectuer un Blitz. Le Blitz peut être utilisé du 1er étage jusqu'à 5 étages plus bas que votre dernier étage terminé.\nVous pouvez récupérer le coffre d'un étage lors de votre premier achèvement de n'importe quel étage (une seule fois).\nVous pouvez récupérer la récompense Pièce d'Épreuve d'un étage lors de votre première achèvement d'un étage de la semaine en cours (une fois par semaine).\nUtilisez des Pièces d'Épreuve dans la boutique d'Épreuve pour acheter divers objets. La boutique d'Épreuve réapprovisionne ses produits après la réinitialisation hebdomadaire de l'Épreuve."
确定降品,日语,ダウングレードを確定,法语,Confirmer le grade inférieur
恭喜您通关{0}层,日语,フロア{0}をクリアしました。おめでとう。,意大利语,Congratulazioni per aver completato il Piano {0}
随机获得一件普通装备,日语,ランダムに選択されたノーマルの装備のアイテムを1つゲットしよう,俄语,Получите 1 случайный предмет снаряжения обычного качества
试炼之塔,韩语,시련의 탑,德语,Turm der Prüfungen
激光竖斩,日语,レーザーカット,俄语,ЛАЗЕРНЫЙ ПОРЕЗ
激光精通,日语,レーザーマスター,俄语,ПОВЕЛИТЕЛЬ ЛАЗЕРОВ
获得一个<color=#ebbbff><b>永恒</b></color>装备或宠物解锁,日语,<color=#ebbbff><b>エターナル</b></color>装備またはペットを ゲットしてアンロック,德语,Hol dir zum Freischalten eine <color=#ebbbff>Epische</color> Ausrüstung oder ein entsprechendes Haustier.
当怪物死亡时，<color=#00FF00>1%</color>概率永久增加一个特殊球（上限<color=#00FF00>5</color>个）,日语,モンスターが死ぬと<color=#00FF00>1%</color>の確率で、スペシャルボールが1個（最大<color=#00FF00>5</color>個）追加される,德语,"Wenn ein Monster stirbt, wird mit <color=#00FF00>1%-iger</color> Wahrscheinlichkeit eine Spezialkugel hinzugefügt (max. <color=#00FF00>5</color>)."
毁灭之球,日语,異空間の扉,法语,BOULE DE DESTRUCTION
随机稀有靴子,韩语,랜덤 레어 신발,法语,Chaussures rares aléatoires
攻击增加,韩语,공격 증가,德语,ANGRIFFSVERSTÄRKUNG
随机A级普通宠物,日语,ランダムAグレードのノーマルペット,法语,Familier normal de grade A aléatoire
当前还有卡牌未领取,韩语,수령하지 못 한 카드가 있습니다,法语,Vous avez toujours des cartes non récupérées
传说护腕晶石,日语,レジェンダリーブレーサーの魔晶石,阿拉伯语,مناوشة الواقيات الداعمة الأسطورية
史诗护腕晶石,日语,エピックブレーサーの魔晶石,阿拉伯语,مناوشة الواقيات الداعمة الملحمية
第{0}层,日语,フロア{0},阿拉伯语,الطابق {0}
在装备合成时可替代任意传说护腕的神秘材料,韩语,장비 융합 시 아무 레전드 팔보호구를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Băng Tay Huyền Thoại nào trong suốt quá trình dung hợp trang bị
是否要替换这张卡牌？,韩语,이 카드를 교체하시겠습니까?,土耳其语,Bu kartı değiştirmek istediğine emin misin?
在装备合成时可替代任意史诗戒指的神秘材料,韩语,장비 융합 시 아무 에픽 반지를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Nhẫn Cực Phẩm nào trong suốt quá trình dung hợp trang bị
回合结束时，当角色血量小于<color=#00FF00>50%</color>时恢复额外恢复最大生命值<color=#00FF00>4%</color>的血量,日语,ラウンド終了時に、キャラクターのHPが<color=#00FF00>50%</color>を下回ると、最大HPの<color=#00FF00>4%</color>を回復する,西班牙语（西班牙）,"Al final de la ronda, cuando los PS son inferiores al <color=#00FF00>50%</color>, restablece un <color=#00FF00>4%</color> de los PS máximos."
获得{0}个普通球,日语,ノーマルボールを{0}個ゲットする,法语,Obtenez {0} balle(s) normale(s)
获得{0}个近战球,日语,近接ボールを{0}個ゲットする,意大利语,Ottieni {0} biglia/e Combattimento
随机A级史诗雷系宠物,日语,ランダムAグレードのエピックの雷のペット,法语,Familier du tonnerre épique de grade A aléatoire
装备是最低品质无法降品,韩语,장비가 이미 최저 품질입니다,德语,Ausrüstung ist bereits auf niedrigstem Rang
随机稀有戒指,日语,ランダムレアの指輪,德语,Zufälliger Seltener Ring
兑换时间,韩语,교환 시간,法语,Heure de l'échange
火焰精通,韩语,화염 마스터,葡萄牙（巴西）,MESTRE DAS CHAMAS
S1赛季传奇头像框,日语,S1レジェンドフレーム,俄语,Легендарная рамка класса S1
荣耀武器晶石,韩语,영예 무기 크리스탈,德语,Ehrenhafter Waffenkristall
随机获得一个S级史诗雷系宠物,日语,ランダムに選択されたSグレードのエピックの雷のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического громового питомца класса S
随机史诗衣服,日语,ランダムエピックの衣服,俄语,Случайный эпический предмет одежды
随机获得一个S级史诗冰系宠物,日语,ランダムに選択されたSグレードのエピックの氷のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического ледяного питомца класса S
信息,繁体中文,訊息,西班牙语（西班牙）,Información
随机S级史诗火系宠物,日语,ランダムSグレードのエピックの炎のペット,俄语,Случайный эпический огненный питомец класса S
火焰球,日语,ファイアボール,意大利语,BIGLIA INFUOCATA
怪物被击败对所在横排怪物造成{0}次激光伤害,韩语,죽인 몬스터가 같은 열의 몬스터에게 미사일 {0}개를 발사합니다,西班牙语（西班牙）,Los monstruos muertos disparan {0} láser(es) a los monstruos de la misma fila.
随机获得一件稀有帽子,日语,ランダムに選択されたレアの帽子を1つゲットしよう,俄语,Получите 1 случайный головной убор редкого качества
雷电球,日语,サンダーボール,意大利语,BIGLIA FULMINANTE
风筝,繁体中文,風箏,俄语,Воздушный змей
在装备合成时可替代任意传说武器的神秘材料,韩语,장비 융합 시 아무 레전드 무기를 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Vũ Khí Huyền Thoại nào trong suốt quá trình dung hợp trang bị
随机获得一件优秀衣服,日语,ランダムに選択されたグッドの衣服を1つゲットしよう,俄语,Получите 1 случайный предмет одежды хорошего качества
永久限定,韩语,단 한번만,越南语,Chỉ một lần duy nhất
在装备合成时可替代任意荣耀武器的神秘材料,韩语,장비 융합 시 아무 영예 무기를 대체하는 데 사용됩니다,法语,Peut remplacer n'importe quelle arme d'honneur pendant la fusion des équipements
限购{0}次,韩语,{0}번 구매 한정,阿拉伯语,فقط {0} من عمليات الشراء
在装备合成时可替代任意史诗靴子的神秘材料,韩语,장비 융합 시 아무 에픽 신발을 대체하는 데 사용됩니다,越南语,Có thể thay thế bất kỳ Giày Cực Phẩm nào trong suốt quá trình dung hợp trang bị
获得{0}个横激光球,日语,横レーザーボールを{0}個ゲットする,意大利语,Ottieni {0} biglia/e Laser orizzontale
随机获得一个A级优秀宠物,日语,ランダムに選択されたAグレードのグッドペットを1匹ゲットしよう,俄语,Получите 1 случайного хорошего питомца класса A
"所有雷电伤害提升{0}%,雷电额外击中{1}个目标",韩语,모든 번개 데미지가 {0}% 증가되며 번개가 추가 표적 {1}개를 적중합니다 ,法语,Tous les dégâts de foudre ont été augmentés de {0} %. La foudre touche + {1} cible(s)
刷新倒计时： {0},韩语,새로 고침까지: {0},法语,Actualisation : {0}
试炼之塔,韩语,시련의 탑,德语,Turm der Prüfungen
<b>永恒</b>,日语,<b>エターナル</b>,越南语,Vĩnh Hằng
功倍,日语,エフェクト2倍,越南语,HIỆU ỨNG GẤP ĐÔI
连击数每达到{0}时复制当前命中的球,韩语,{0} 콤보마다 명중하는 볼이 모두 복제됩니다,阿拉伯语,كلما وصل عدد مجموعة الضربات إلى {0}، استنسخ كل الكرات التي نجحت في الإصابة.
试炼硬币不足,韩语,시련 코인이 부족합니다,西班牙语（西班牙）,No hay suficientes monedas de prueba
传说武器晶石,日语,レジェンダリー武器の魔晶石,俄语,Кристалл легендарного оружия
随机获得一件史诗帽子,日语,ランダムに選択されたエピックの帽子を1つゲットしよう,俄语,Получите 1 случайный головной убор эпического качества
获得{0}个导弹球,日语,ミサイルボールを{0}個ゲットする,阿拉伯语,احصل على {0} من الكرات الصاروخية
火系史诗锤子,日语,エピックの炎ハンマー,俄语,Эпический огненный молот
风筝节\n嘉年华,日语,凧あげ祭り\nカーニバル,法语,CARNAVAL DU\nFESTIVAL DES CERFS-VOLANTS
我的卡组,日语,マイカード,葡萄牙（巴西）,Minhas Cartas
在装备合成时可替代任意传说戒指的神秘材料,韩语,장비 융합 시 아무 레전드 반지를 대체하는 데 사용됩니다,意大利语,Può sostituire qualsiasi Anello leggendario durante la fusione dell'equipaggiamento
冰系史诗锤子,日语,エピックの氷ハンマー,意大利语,Martello di ghiaccio epico
在装备合成时可替代任意史诗帽子的神秘材料,韩语,장비 융합 시 아무 에픽 모자를 대체하는 데 사용됩니다,意大利语,Può sostituire qualsiasi Cappello epico durante la fusione dell'equipaggiamento
普通球,日语,ノーマルボール,意大利语,BIGLIA NORMALE
获得{0}个火焰球,日语,ファイアボールを{0}個ゲットする,阿拉伯语,احصل على {0} من الكرات النارية
可以打开火系宠物魔法蛋的锤子,日语,炎のポンエッグを叩いて開けることができるハンマー,印尼语,Martil yang dapat menghancurkan dan membuka PunEgg Api
随机获得一件史诗护腕,日语,ランダムに選択されたエピックのブレーサーを1つゲットしよう,俄语,Получите 1 случайные наручи эпического качества
所有雷电伤害提升{0}%,日语,すべての雷ダメージが{0}%増加する,法语,Tous les dégâts de foudre ont été augmentés de {0} %
获得{0}个钻头球,日语,ドリルボールを{0}個ゲットする,法语,Obtenir {0} balle(s) de forage
随机获得一个S级史诗森系宠物,日语,ランダムに選択されたSグレードのエピックの森のペットを1匹ゲットしよう,俄语,Получите 1 случайного эпического джунглевого питомца класса S
随机获得一件优秀护腕,日语,ランダムに選択されたグッドのブレーサーを1つゲットしよう,俄语,Получите 1 случайные наручи хорошего качества
传说衣服晶石,日语,レジェンダリー衣服の魔晶石,越南语,Tiết Kiệm Áo Choàng Huyền Thoại
连锁闪电命中的怪物会被额外追击一次天雷伤害,日语,サンダーに命中されたモンスターには、追加で落雷ダメージを与える,德语,"Monster, die von Blitzen getroffen werden, erleiden zusätzlichen Schaden durch einen Himmelsdonner-Schlag."
随机A级史诗冰系宠物,日语,ランダムAグレードのエピックの氷のペット,法语,Familier de glace épique de grade A aléatoire
浪潮有<color=#00FF00>50%</color>概率变成海啸对全屏怪物造成伤害,韩语,파도는 <color=#00FF00>50%</color> 확률로 쓰나미가 되어 모든 몬스터에게 데미지를 입힙니다,德语,Die Welle kann sich mit <color=#00FF00>50%-ige</color> Wahrscheinlichkeit in einen Tsunami verwandeln und Schaden an allen Monstern verursachen.
一键清空,日语,すべてクリア,越南语,Hoàn Thành Tất Cả
选择新技能时<color=#00FF00>10%</color>概率获得所有出现的技能,日语,新しいスキルを選択すると、<color=#00FF00>10%</color>の確率でスキルの選択肢すべてを得られる,德语,Bei Auswahl einer neuen Fähigkeit besteht eine Chance von <color=#00FF00>10%</color> auf Erlangen sämtlicher Fähigkeiten-Auswahlen.
获得{0}个炸弹球,日语,爆弾ボールを{0}個ゲットする,法语,Obtenir {0} balle(s) de bombe
<b>永恒 + 2</b>,韩语,<b>이터널 + 2</b>,越南语,Vĩnh Hằng + 2
降品,日语,グレード ダウン,法语,Grade inférieur
获得<color=#ebbbff><b>永恒+2</b></color>装备,日语,<color=#ebbbff><b>エターナル+2</b></color>装備をゲット,德语,Erhalte einen Ausrüstungsgegenstand <color=#ebbbff>Ewig +2</color>
一回合击杀<color=#00FF00>3</color>个敌人以上，攻击力增加<color=#00FF00>2%</color>（上限<color=#00FF00>20%</color>）,韩语,1 라운드 동안 몬스터 <color=#00FF00>3</color>마리 이상 처치 시 공격 <color=#00FF00>2%</color> 증가 (최대 <color=#00FF00>20%</color>),德语,"Töte <color=#00FF00>3</color>+ Gegner in 1 Runde, um <color=#00FF00>2%</color> zusätzliche Angriffskraft zu erlangen (Max. <color=#00FF00>20%</color>)."
我的卡组,日语,マイカード,葡萄牙（巴西）,Minhas Cartas
试炼硬币,韩语,시련 코인,俄语,Монета за испытание
随机神级传说装备,日语,ランダムレジェンダリーの装備,意大利语,Equipaggiamento leggendario Reliquia casuale
随机获得一件史诗武器,日语,ランダムに選択されたエピックの武器を1つゲットしよう,俄语,Получите 1 случайное оружия редкого качества
随机获得一件稀有护腕,日语,ランダムに選択されたレアのブレーサーを1つゲットしよう,葡萄牙（巴西）,Obtenha 1 par de Braçadeiras Raras aleatórias
挑战失败，请继续努力,日语,失敗しました。もう一度お試しください！,德语,Du bist gescheitert … versuche es noch einmal!
连珠火球,韩语,콤보 파이어 볼,阿拉伯语,ضربات الكرات النارية المتتالية
击败激光,韩语,데스 레이저,意大利语,LASER DELLA MORTE
怪物被击败对所在横排怪物造成激光伤害,韩语,적 사망 시 주변 적을 중독시킵니다,葡萄牙（巴西）,Dispara um laser quando inimigos são abatidos
<b>普通</b>,日语,<b>ノーマル</b>,意大利语,Normale
<b>优秀</b>,日语,<b>グッド</b>,印尼语,Bagus
<b>稀有</b>,简体中文,<b>稀有</b>,德语,Selten
<b>史诗</b>,日语,<b>エピック</b>,泰语,มหากาพย์
<b>史诗 + 1</b>,繁体中文,<b>史詩 + 1</b>,泰语,มหากาพย์ + 1
<b>史诗 + 2</b>,繁体中文,<b>史詩 + 2</b>,泰语,มหากาพย์ + 2
<b>传说</b>,日语,<b>レジェンダリー</b>,越南语,Huyền thoại
<b>传说 + 1</b>,日语,<b>レジェンダリー+1</b>,越南语,Huyền thoại + 1
<b>传说 + 2</b>,日语,<b>レジェンダリー+2</b>,越南语,Huyền thoại + 2
<b>传说 + 3</b>,日语,<b>レジェンダリー+3</b>,越南语,Huyền thoại + 3
<b>荣耀</b>,日语,<b>オナー</b>,印尼语,Kehormatan
<b>荣耀 + 1</b>,繁体中文,<b>榮耀 + 1</b>,印尼语,Kehormatan + 1
<b>荣耀 + 2</b>,繁体中文,<b>榮耀 + 2</b>,印尼语,Kehormatan + 2
<b>荣耀 + 3</b>,繁体中文,<b>榮耀 + 3</b>,印尼语,Kehormatan + 3
<b>荣耀 + 4</b>,繁体中文,<b>榮耀 + 4</b>,印尼语,Kehormatan + 4
近战怪物（不含首领）造成的伤害减少<color=#00FF00>20%</color>,日语,近距離のモンスターのダメージが-<color=#00FF00>20%</color>になる,意大利语,Attacco a distanza ravvicinata dei mostri -<color=#00FF00>20%</color>
近战怪物（不含首领）造成的伤害减少<color=#00FF00>25%</color>,日语,近距離のモンスターのダメージが-<color=#00FF00>25%</color>になる,意大利语,Attacco a distanza ravvicinata dei mostri -<color=#00FF00>25%</color>
近战怪物（不含首领）造成的伤害减少<color=#00FF00>30%</color>,日语,近距離のモンスターのダメージが-<color=#00FF00>30%</color>になる,意大利语,Attacco a distanza ravvicinata dei mostri -<color=#00FF00>30%</color>
近战怪物（不含首领）造成的伤害减少<color=#00FF00>40%</color>,日语,近距離のモンスターのダメージが-<color=#00FF00>40%</color>になる,意大利语,Attacco a distanza ravvicinata dei mostri -<color=#00FF00>40%</color>
回合结束时，回复最大生命值<color=#00FF00>1%</color>的血量,简体中文,回合结束时，回复最大生命值<color=#00FF00>1%</color>的血量,德语,Am Ende der Runde werden <color=#00FF00>1%</color> GP wiederhergestellt.
回合结束时，回复最大生命值<color=#00FF00>1.5%</color>的血量,简体中文,回合结束时，回复最大生命值<color=#00FF00>1.5%</color>的血量,德语,"Am Ende der Runde werden <color=#00FF00>1,5%</color> GP wiederhergestellt."
回合结束时，回复最大生命值<color=#00FF00>2%</color>的血量,简体中文,回合结束时，回复最大生命值<color=#00FF00>2%</color>的血量,德语,Am Ende der Runde werden <color=#00FF00>2%</color> GP wiederhergestellt.
回合结束时，回复最大生命值<color=#00FF00>2.5%</color>的血量,简体中文,回合结束时，回复最大生命值<color=#00FF00>2.5%</color>的血量,德语,"Am Ende der Runde werden <color=#00FF00>2,5%</color> GP wiederhergestellt."
装备降级会返还100%的卷轴和金币,韩语,장비 레벨 다운 시 스크롤 및 코인이 100% 반환됩니다,德语,Bei Abwerten von Ausrüstung werden 100 % der Schriftrollen und Münzen zurückerstattet.
确定降级,日语,レベルダウンを確定,法语,Confirmer le niveau inférieur
随机获得一件优秀装备,日语,ランダムに選択されたグッド装備を1つ獲得,俄语,Получите 1 случайный предмет снаряжения хорошего качества
获得<color=#D76CFF><b>史诗</b></color>装备,日语,<color=#D76CFF><b>エピック</b></color>装備をゲット,俄语,Получите снаряжение <color=#D76CFF>эпич.</color> качества
获得<color=#D76CFF><b>史诗+1</b></color>装备,日语,<color=#D76CFF><b>エピック+1</b></color>装備をゲット,俄语,Получите снаряжение <color=#D76CFF>эпич.+1</color> качества
获得<color=#D76CFF><b>史诗+2</b></color>装备,日语,<color=#D76CFF><b>エピック+2</b></color>装備をゲット,俄语,Получите снаряжение <color=#D76CFF>эпич.+2</color> качества
获得<color=#FEE411><b>传说</b></color>装备,日语,<color=#FEE411><b>レジェンダリー</b></color>装備をゲット,俄语,Получите снаряжение <color=#FEE411>легенд.</color> качества
获得<color=#FEE411><b>传说+1</b></color>装备,日语,<color=#FEE411><b>レジェンダリー+1</b></color>装備をゲット,意大利语,Ottieni equipaggiamento <color=#FEE411>leggendario+1</color>
获得<color=#FEE411><b>传说+2</b></color>装备,日语,<color=#FEE411><b>レジェンダリー+2</b></color>装備をゲット,意大利语,Ottieni equipaggiamento <color=#FEE411>leggendario+2</color>
获得<color=#FEE411><b>传说+3</b></color>装备,日语,<color=#FEE411><b>レジェンダリー+3</b></color>装備をゲット,意大利语,Ottieni equipaggiamento <color=#FEE411>leggendario+3</color>
获得<color=#EE2C2C><b>荣耀</b></color>装备,日语,<color=#EE2C2C><b>オナー</b></color>装備をゲット,俄语,Получите снаряжение <color=#EE2C2C>почет.</color> качества
