多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
{0}后可免费重置一次技能,日语,無料でスキルリセットができるまで{0},法语,1 réinitialisation gratuite de compétence dans {0}
完整的S级宝物,韩语,완전한 S급 보물,俄语,Нетронутый артефакт класса S
战斗号角的碎片，可以用来激活和升级战斗号角,日语,ウォーホーンのカケラ。ウォーホーンのアクティブ化やアップグレードに使用できる,印尼语,Serpihan Trompet Perang digunakan untuk mengaktifkan dan mengupgrade Trompet Perang
神圣祭坛,韩语,신성한 제단,泰语,แท่นบูชาศักดิ์สิทธิ์
最终首领营地,韩语,최종 보스 캠프,西班牙语（西班牙）,Campamento del jefe final
黄昏草原,韩语,황혼의 초원,西班牙语（西班牙）,Llanuras del crepúsculo
升级材料数量不足！,繁体中文,升級材料數量不足！,西班牙语（西班牙）,¡No hay suficientes materiales!
地图说明,日语,地図の説明,西班牙语（西班牙）,Información de mapa
砰砰法师1周年庆典限定头像框,繁体中文,砰砰法師1周年慶典限定頭像框,意大利语,Cornice limitata per il Primo Anniversario di PunBall
海德拉爪牙,韩语,히드라 송곳니,法语,Crochet de l'hydre
年兽复刻,韩语,니안 클론,俄语,Клон зверя Нянь
对选中的1个怪物造成攻击力*<color=#00FF00>{0}%</color>的伤害,韩语,선택한 몬스터 1마리에게 공격력 <color=#00FF00>{0}%</color>의 데미지를 입힙니다,印尼语,Menimbulkan <color=#00FF00>{0}%</color> dari Damage Serangan ke 1 monster terpilih
S级宝物碎片概率提升,日语,Sグレード宝物のカケラのドロップ率アップ,西班牙语（西班牙）,Aumento de nivel de fragmento de artefacto de grado S
猎龙人将象征战利品的巨龙牙齿编成的项链,韩语,"드래곤 헌터의 전리품, 거대한 용송곳니로 만든 목걸이",越南语,Một chiếc vòng cổ được làm từ những chiếc răng nanh của đại long - chiến lợi phẩm của các chiến binh săn rồng
拥有多个头的强大生物，入侵并统治整个沙漠,韩语,사막을 침략하고 지배하는 여러 개의 머리를 가진 강력한 생물,德语,"Eine mächtige Kreatur mit vielen Köpfen, die in die Wüste eingedrungen ist und über sie herrscht"
<color=#FFDC00><size=20>{0}</size></color>次内必出完整的S级宝物,韩语,<color=#FFDC00><size=20>{0}</size></color>회 안에 완전한 S급 보물을 획득합니다,西班牙语（西班牙）,Consigue un artefacto de grado S intacto en <color=#FFDC00><size=20>{0}</size></color> vez(es).
狩猎草原,韩语,사냥 초원,法语,Plaines de chasse
旋转,韩语,회전하다,阿拉伯语,من الدوّارات
普通奖品概率,韩语,일반 보상 확률,德语,Wahrscheinlichkeit (Normale Preise)
激励周围的怪物，拥有更大的激励范围,韩语,더 넓은 범위에 있는 몬스터를 격려합니다,印尼语,Memberi semangat kepada monster di sekeliling dengan jangkauan lebih luas
对选中的3*3区域内所有怪物造成攻击力*<color=#00FF00>{0}%</color>的伤害,韩语,선택한 3x3 영역의 모든 몬스터에게 공격력 <color=#00FF00>{0}%</color>의 데미지를 입힙니다,法语,Inflige <color=#00FF00>{0} %</color> de dégâts d'attaque à tous les monstres dans une zone 3x3 sélectionnée
探索进度,韩语,탐험 진도,法语,Progression
幻影宝珠的碎片，可以用来激活和升级幻影宝珠,日语,ファントムオーブのカケラ。ファントムオーブのアクティブ化やアップグレードに使用できる,德语,Trugbildreiche Perle (Scherbe) zur Aktivierung und Verbesserung der Trugbildreiche Perle
激励周围的怪物，拥有更大的激励范围,韩语,더 넓은 범위에 있는 몬스터를 격려합니다,印尼语,Memberi semangat kepada monster di sekeliling dengan jangkauan lebih luas
更换宝物,韩语,보물 교체,法语,Changer les artefacts
用神力驱动的传送门，可以瞬间将你传送到另外一个地图,韩语,신성한 힘으로 가동되는 이 포털은 즉시 다른 맵으로 캐릭터를 순간 이동합니다,德语,Dieses Portal wird durch göttliche Energie angetrieben und transportiert dich in Sekundenschnelle auf eine andere Karte.
对选中的1列中所有怪物造成攻击力*<color=#00FF00>{0}%</color>的伤害,日语,選ばれた一列の中のすべてのモンスターに攻撃力の*<color=#00FF00>{0}%</color>のダメージーを与える,法语,Inflige <color=#00FF00>{0} %</color> de dégâts t'attaque à tous les monstres dans 1 colonne sélectionnée
宝物,繁体中文,寶物,泰语,อาร์ติแฟกซ์
有障碍阻挡，无法达到,日语,ブロックされています、到達できません,意大利语,Bloccato da un ostacolo: impossibile raggiungere
七阶神圣祭坛,韩语,신성한 제단 VII,泰语,แท่นบูชาศักดิ์สิทธิ์ VII
转动幸运大转盘的必备物品,日语,ラッキーホイールをプレイするために必要なアイテム,西班牙语（西班牙）,Imprescindible para hacer girar la Rueda de la suerte.
巨型哥布林萨满,日语,巨大ゴブリンシャーマン,德语,Riesiger Kobold-Schamane
砰砰法师1周年庆典限定头像,韩语,핀볼도사 1주년 한정 아바타,越南语,Ảnh đại diện Lễ Kỷ Niệm 1 Năm PunBall phiên bản giới hạn
绿龙护盾碎片,日语,ヴェルドリゴンの盾のカケラ,德语,Schild des Grünen Drachen (Scherbe)
按等级排序,韩语,레벨 순으로 정렬,印尼语,Menurut Level
蕴含强大神力的泉水，饮下泉水可以提高攻击力,韩语,강력한 마법이 깃든 이 물을 마시면 캐릭터의 공격력을 증가합니다,德语,"Diese Quelle gewährt eine mächtige Zauberkraft. Trink davon, um die Angriffskraft deines Charakters zu erhöhen."
任意宝物等级达到1级,日语,任意の宝物がレベル1になる,法语,N'importe quel Artefact au niv. 1
恭喜您！已获得所有奖励,日语,おめでとうございます！全部の賞品を獲得しました,法语,Félicitations ! Vous avez obtenu toutes les récompenses
每种奖品数量有限，抽完后概率会转换到其他奖品上，祝您好运！\n活动结束后，剩余的幸运指针会以钻石回购的方式回收,韩语,각 보상의 수량은 한정되어 있습니다. 당첨 시 다른 보상으로 확률이 이전됩니다. 행운을 빕니다!\n이벤트가 종료되면 남은 럭키 스피너는 보석으로 전환됩니다,意大利语,"Ogni premio è disponibile in quantità limitata. Dopo averne vinto uno, la relativa probabilità di vittoria sarà trasferita agli altri premi. Buona fortuna!\nAl termine dell'evento, gli Aghi della fortuna rimasti saranno convertiti in gemme"
龙牙项链,日语,ドラゴンファングネックレス,法语,Collier de crocs de dragon
1周年限定头像,韩语,1주년 한정 아바타,阿拉伯语,الصورة الرمزية المحدودة للذكرى الأولى
战斗号角碎片,日语,ウォーホーンのカケラ,葡萄牙（巴西）,Fragmento de Chifre de Guerra
暗礁深海,韩语,암초 바다,阿拉伯语,بحر الشعب المرجانية السوداء
任意宝物等级达到15级,日语,任意の宝物がレベル15になる,法语,N'importe quel Artefact au niv. 15
发射50根天羽箭攻击场上随机怪物，每根天羽箭造成攻击力*<color=#00FF00>{0}%</color>伤害,韩语,무작위 몬스터에게 50개의 스카이샷 화살을 발사합니다. 각 화살은 공격력 <color=#00FF00>{0}%</color>의 데미지를 입힙니다,德语,Feuert 50 Himmelsfedernpfeile auf zufällig ausgewählte Monster ab. Jeder Pfeil verursacht einen Angriffsschaden von <color=#00FF00>{0}%</color>.
奖品详情,韩语,보상 정보,西班牙语（西班牙）,Detalles de los premios
本回合发球时会沿瞄准线左右两侧同步发射所有球的影子球。影子球保留原有球的特性，伤害为原球伤害的<color=#00FF00>{0}%</color>,韩语,이번 라운드 볼 발사 시 모든 볼의 섀도 볼도 조준 방향의 양쪽을 따라 발사됩니다. 섀도 볼은 원래 볼의 특성을 유지하며 원래 볼 <color=#00FF00>{0}%</color>의 데미지를 입힙니다,法语,"Lorsque vous lancez une balle ce tour-ci, les Boules d'ombre de toutes les boules sont également tirées des deux côtés de la direction visée. Les Boules d'ombre conservent les caractéristiques de la boule d'origine et infligent <color=#00FF00>{0} %</color> des dégâts de la boule d'origine"
悬崖矿洞,韩语,절벽 광산,意大利语,Miniera di scogliera
幸运指针礼包,日语,ラッキースピナーパック,西班牙语（西班牙）,Paquete de Ruleta de la suerte
增强宝物,韩语,보물 강화,泰语,เสริมสร้างสิ่งประดิษฐ์
规则说明,韩语,규칙 안내,土耳其语,Kurallar
A级宝物碎片,日语,Aグレード宝物のカケラ,葡萄牙（巴西）,Fragmento de Artefato Grau A Intacto
升级材料数量不足！,繁体中文,升級材料數量不足！,西班牙语（西班牙）,¡No hay suficientes materiales!
天羽箭碎片,韩语,스카이샷 화살 조각,西班牙语（西班牙）,Fragmento de flecha de Disparo celestial
北境雪原,韩语,북지 툰드라,越南语,Đài Nguyên Phương Bắc
众神遗落的珍贵宝箱，里面含有S宝物碎片，需要天赋极高的魔法师才能拾取,韩语,신의 유적에서 발견된 진귀한 상자에는 S급 보물 조각이 들어있습니다. 마법 재능이 높은 사람만 취득할 수 있습니다,法语,Un coffre précieux trouvé dans les Ruines des dieux. Contient des fragments d'Artefact de qualité S. Ne peut être pillé que par ceux qui ont une grande affinité magique
砰砰法师1周年庆典限定头像,日语,ポンボール1周年フェス限定アバター,越南语,Ảnh đại diện Lễ Kỷ Niệm 1 Năm PunBall phiên bản giới hạn
传送门,日语,ポータル,越南语,Cổng Dịch Chuyển
巨型哥布林萨满,日语,巨大ゴブリンシャーマン,德语,Riesiger Kobold-Schamane
穿刺长矛碎片,韩语,랜스보어 창 조각,西班牙语（西班牙）,Fragmento de lanza Lanza de barrena
进阶,日语,グレードアップ,德语,Aufsteigen
可传送至2层,韩语,2층으로 순간이동,德语,Teleportiere dich zu Etage 2
风化沙漠,韩语,풍화된 사막,俄语,Выветренная пустыня
地下海洋,韩语,지하 바다,德语,Unterirdischer Ozean
二阶神圣祭坛,韩语,신성한 제단 II,泰语,แท่นบูชาศักดิ์สิทธิ์ I
最多同时使用3个指针,韩语,최대 스피너 3개를 사용할 수 있습니다,德语,Bis zu 3 Glücksbringer können verwendet werden
蛋糕,韩语,케이크,越南语,Bánh kem
技能列表,韩语,스킬 목록,法语,Liste des compétences
众神遗落的小宝箱，里面含有神圣晶石，需要天赋极高的魔法师才能拾取,韩语,신의 유적에서 발견된 작은 상자에는 신성 크리스탈이 들어있습니다. 마법 재능이 높은 사람만 취득할 수 있습니다,土耳其语,Tanrıların Harabelerinde bulunabilen küçük bir sandık. İçinde Kutsal Kristal ve İlahi Kutsal Kristal bulunur. Yalnızca sihir yatkınlığı yüksek olanlar tarafından yağmalanabilir
精灵长弓的碎片，可以用来激活和升级精灵长弓,韩语,엘프 장궁을 활성화하고 업그레이드하는 데 사용하는 엘프 장궁 조각,印尼语,Serpihan Busur Panjang Elven digunakan untuk mengaktifkan dan mengupgrade Busur Panjang Elven
所有宝物造成的伤害增加<color=#00FF00>25%</color>,韩语,보물이 입히는 모든 데미지 <color=#00FF00>25%</color> 증가,德语,Sämtlicher verursachter Schaden durch Artefakte wird um <color=#00FF00>25%</color> erhöht.
砰砰法师1周年\n嘉年华,日语,ポンボール1周年\nカーニバル,葡萄牙（巴西）,FEIRA DA\nFESTA DE ANIVERSÁRIO DE 1 ANO DO PUNBALL
神圣祭坛达到五阶,韩语,신성한 제단 V 도달,越南语,Đạt Điện Thờ Thiêng Liêng Cấp V
用天使掉落下来的羽毛制作而成的箭,繁体中文,用天使掉落下來的羽毛製作而成的箭矢,越南语,Một mũi tên được làm từ những chiếc lông trên cánh các thiên thần
幸运大转盘,日语,ラッキーホイール,意大利语,Ruota della fortuna
阿波罗宝物箱,韩语,아폴로의 보물 핀박스 ,德语,Apollos Schatztruhe
未探索区域，无法达到,韩语,미개척 지역: 도달할 수 없음,印尼语,Area belum dijelajahi: tidak bisa menjangkau
初级遗迹宝箱,韩语,낡은 유적 상자,西班牙语（西班牙）,Cofre de las ruinas gastado
已达到最大等级,繁体中文,已達到最大等級,意大利语,Livello massimo
任意宝物等级达到20级,日语,任意の宝物がレベル20になる,法语,N'importe quel Artefact au niv. 20
天羽箭的碎片，可以用来激活和升级天羽箭,韩语,스카이샷 활을 활성화하고 업그레이드하는 데 사용하는 스카이샷 활 조각,西班牙语（西班牙）,El fragmento de flecha de Disparo celestial se usa para activar y mejorar la flecha de Disparo celestial.
<color=#FFDC00><size=20>{0}</size></color>次内必出完整的A级宝物,韩语,<color=#FFDC00><size=20>{0}</size></color>회 안에 완전한 A급 보물을 획득합니다,西班牙语（西班牙）,Consigue un artefacto de grado A intacto en <color=#FFDC00><size=20>{0}</size></color> vez(es).
阿波罗之弓的碎片，可以用来激活和升级阿波罗之弓,韩语,아폴로의 활을 활성화하고 업그레이드하는 데 사용하는 아폴로의 활 조각,德语,Bogen des Apollo (Scherbe) zur Aktivierung und Verbesserung des Bogens des Apollo
解锁第<color=#00FF00>1</color>个宝物槽位,日语,アンロック<color=#00FF00>一つ</color>目の宝物スロット,西班牙语（西班牙）,Desbloquea el espacio del artefacto <color=#00FF00>1</color>
砰砰宝物箱,韩语,보물 핀박스,阿拉伯语,كنز Pun الدفين
"一个看上去废弃很久的宫殿，传说与太阳神阿波罗有关，无数的冒险者来此却一无所获。
但不知发生了什么，封印的魔法突然被解开，暗夜女王的魔爪也已伸向了这里，窥探遗落其中的珍贵物品。
据魔法协会了解到的情报，魔法封印打开后冒险者们只能在{0}至{1}内进行探索，请大家抓紧时间。
初次进入遗迹中，未知的区域都被迷雾笼罩着，冒险者经过的区域就会被点亮。
由于遗迹中还存在强大的魔法封印，所有冒险者初始只会获得1000攻击力5000血量，但是冒险者携带的装备、宠物和宝物的技能都可以正常发动，在冒险途中都可以随时更换。
该遗迹一共有3层，第1层封印会在{2}打开，第2层封印会在{3}打开，第3层封印会在{4}打开。
当下一层的封印打开后，冒险家可以使用传送门直接进入下一层。
遗迹中所有宝物和建筑都被魔法包围，需要天赋极高的魔法师才可拾取和使用，那些怪物无法染指，愤怒的怪物聚集起来，准备偷袭前来探索的魔法师。",韩语,"오래 전에 버려진 것 같은 궁전은 태양신 아폴로와 관련이 있다는 전설이 있습니다. 수많은 모험가들이 이곳에 찾아왔지만 빈손으로 떠났습니다. 
그런데 알 수 없는 이유로 봉인의 마법이 갑자기 풀리면서 밤의 여왕이 이 숨겨진 곳으로 불길한 시선을 돌렸고 그 안의 귀한 보물을 몹시 탐내고 있습니다.
마법 협회의 보고에 따르면 마법 봉인이 해제되면 모험가는 {0}부터 {1}까지 유적을 탐험할 수 있습니다. 황금같은 기회를 놓치지 마세요.
유적에 처음 입장할 때 미지의 영역이 안개에 휩싸여 있으며 모험가가 통과 시 드러납니다.
유적에 다른 강력한 마법 봉인으로 인해 모든 모험가는 처음에 공격력 1000, HP 5000 만 갖고 시작합니다. 모든 장비, 펫 및 보물은 정상적으로 작동하며 모험 중에 언제든지 교체할 수 있습니다.
유적은 총 3층으로 구성되어 있습니다. 1층 봉인은 {2}에, 2층 봉인은 {3}에, 3층 봉인은 {4}에 잠금 해제됩니다.
다음 층의 봉인이 해제되면 모험가는 포털을 통해 다음 층으로 바로 입장할 수 있습니다.
유적 내의 모든 보물과 건물은 마법으로 둘러싸여 있어 높은 재능을 지닌 마법사들만이 취득하고 사용할 수 있습니다. 몬스터들이 손댈 수 없어 몹시 분노하며, 모여들어서 감히 이 곳을 탐험하는 마법사들에 대한 습격을 준비합니다.",德语,"In diesem Palast, der schon lange Zeit verlassen scheint, soll es der Legende nach eine Verbindung zum Sonnengott Apollo gegeben haben. Viele Abenteurer sind allerdings mit leeren Händen von diesem Ort zurückgekehrt. 
Aus unbekannten Gründen wurde der Zauber des Siegels aber plötzlich aufgehoben und seither hat die Königin der Nacht ihren bösen Blick auf diesen verborgenen Ort geworfen, wo sie reiche Schätze zu erlangen hofft.
Laut Berichten der Magischen Gesellschaft können alle Abenteurer diese Ruinen innerhalb von {0} bis {1} nach Aufhebung des magischen Siegels erkunden. Lass dir diese goldene Gelegenheit also auf keinen Fall entgehen.
Beim ersten Betreten der Ruinen sind alle nicht erkundeten Bereiche in Nebel gehüllt, der sich immer dann lichtet, wenn ein entsprechender Bereich von Abenteurern durchquert wird.
Weil es in den Ruinen noch viele andere mächtige Siegel gibt, starten alle Abenteurer mit nur 1000 an Angriffskraft und 5000 GP. Alle Ausrüstungsteile, Haustiere und Artefakte können auch bei diesem Abenteuer wie gewöhnlich aktiviert und jederzeit ausgetauscht werden.
In den Ruinen gibt es insgesamt 3 Ebenen. Das Siegel der 1. Ebene wird bei {2}, das Siegel der 2. Ebene bei {3} und das Siegel der 3. Ebene bei {4} freigeschaltet.
Wenn das Siegel einer nächsten Ebene freigeschaltet worden ist, können die Abenteurer über ein Portal dorthin gelangen.
Sämtliche Artefakte und Bauwerke in den Ruinen sind von starker Magie umhüllt und können nur von wirklich hochbegabten Zauberern erbeutet werden, die es außerdem verstehen, den Klauen der vielen gierigen Monster zu entwischen, die hier lauern. Dann werden diese Bestien vor Wut nur so toben und sich zusammenschließen, um alle unvorsichtigen Zauberer anzugreifen, die es wagen, diese Tiefen zu erforschen."
精灵族狩猎所用的长弓,韩语,엘프 사냥꾼들이 사용하는 장궁,德语,"Ein Langbogen, der von den Elfenjägern eingesetzt wird."
领取幸运指针,日语,ラッキースピナーを受け取る,法语,Récupérer le Lanceur de la chance
